"name","GP","GS","MP","YC","RC","OFF","C","CK","TT","P","INT","BLK","GMB","TKL","FS","FC","PKG","PK","G","A","SOG","S"
"Fabianski, LukaszFabianski, L.ARS",1,1,90,0,0,0,0,0,51,28,2,0,0,0,0,0,0,0,0,0,0,0
"FabioFabio",14,14,1092,2,0,3,30,0,695,280,55,15,0,13,16,19,0,0,0,0,3,10
"Faye, AbdoulayeFaye, A.HUL",3,3,270,0,0,0,1,0,77,30,3,3,0,2,0,0,0,0,0,0,0,3
"Fellaini, MarouaneFellaini, M.",19,15,1376,2,0,3,11,0,1223,774,137,10,0,14,20,42,0,0,0,1,9,31
"Fer, LeroyFer, L.NC",29,28,2465,5,1,0,9,0,1473,838,151,14,0,43,35,51,0,0,3,1,15,38
"Ferdinand, RioFerdinand, R.MAN",14,12,1128,0,0,0,2,0,756,501,74,8,0,1,3,0,0,0,0,0,0,0
"FernandinhoFernandinhoMCY",33,29,2608,8,0,0,28,0,1950,1325,176,14,0,22,25,51,0,0,5,3,11,37
"Figueroa, MaynorFigueroa, M.HUL",32,31,2715,6,0,0,49,0,1858,757,175,33,0,25,39,42,0,0,0,0,6,20
"Flamini, MathieuFlamini, M.ARS",27,18,1604,8,1,1,3,1,1377,962,162,17,0,21,20,25,0,0,2,0,6,18
"Flanagan, JonFlanagan, J.LIV",23,23,1898,3,0,1,19,0,1402,684,123,11,0,14,20,27,0,0,1,1,3,7
"Fletcher, DarrenFletcher, D.MAN",12,9,779,0,0,0,16,0,656,480,56,1,0,4,9,3,0,0,0,0,1,5
"Fletcher, StevenFletcher, S.SUN",20,13,1239,1,0,19,1,0,386,143,18,1,0,5,20,15,0,0,3,0,9,32
"Fonte, JoséFonte, J.SHN",36,35,3181,7,0,0,11,0,2444,1490,256,31,0,26,17,33,0,0,3,0,6,19
"Foster, BenFoster, B.WBA",24,24,2148,1,0,0,0,0,868,177,38,3,0,1,1,1,0,0,0,0,0,0
"Fox, DanielFox, D.SHN",3,3,258,0,0,0,2,0,195,75,10,3,0,1,2,4,0,0,0,1,0,1
"Friedel, BradFriedel, B.TOT",1,1,90,0,0,0,0,0,38,17,0,0,0,0,0,0,0,0,0,0,0,0
"Fryatt, MattFryatt, M.HUL",10,0,218,0,0,3,2,0,94,49,5,0,0,2,5,4,0,0,2,0,3,6
"Fryers, EzekielFryers, E.TOT",7,3,399,0,0,0,13,0,323,153,26,5,0,0,5,1,0,0,0,0,0,2
